power,count
"239 hp @ 4,900 RPM",59
"239 hp @ 5,200 RPM",58
"210 hp @ 5,500 RPM",57
"230 hp @ 5,800 RPM",57
"203 hp @ 5,750 RPM",57
"245 hp @ 4,000 RPM",56
"240 hp @ 6,400 RPM",56
"240 hp @ 4,800 RPM",55
"128 hp @ 5,500 RPM",55
"115 hp @ 6,100 RPM",55
"280 hp @ 6,300 RPM",55
"161 hp @ 6,000 RPM",55
"215 hp @ 5,000 RPM",55
"552 hp @ 6,000 RPM",55
"416 hp @ 5,500 RPM",55
"300 hp @ 5,750 RPM",54
"157 hp @ 6,000 RPM",54
"225 hp @ 5,600 RPM",54
"350 hp @ 5,600 RPM",54
"335 hp @ 6,000 RPM",54
"300 hp @ 2,800 RPM",54
"288 hp @ 1,900 RPM",53
"192 hp @ 6,000 RPM",53
"136 hp @ 6,000 RPM",52
"318 hp @ 6,500 RPM",52
"335 hp @ 5,200 RPM",52
"160 hp @ 6,250 RPM",51
"443 hp @ 6,500 RPM",51
"152 hp @ 5,200 RPM",51
"469 hp @ 5,500 RPM",50
"175 hp @ 5,000 RPM",50
"275 hp @ 5,600 RPM",50
"306 hp @ 6,800 RPM",50
"245 hp @ 5,800 RPM",50
"230 hp @ 4,600 RPM",50
"292 hp @ 5,750 RPM",49
"280 hp @ 4,920 RPM",48
"434 hp @ 5,700 RPM",48
"360 hp @ 6,000 RPM",48
"272 hp @ 5,000 RPM",48
"215 hp @ 5,700 RPM",48
"503 hp @ 5,500 RPM",47
"235 hp @ 4,500 RPM",47
"617 hp @ 6,000 RPM",47
"340 hp @ 5,300 RPM",47
"178 hp @ 5,500 RPM",47
"252 hp @ 6,200 RPM",46
"118 hp @ 6,000 RPM",46
"321 hp @ 6,800 RPM",45
"440 hp @ 5,650 RPM",45
"360 hp @ 6,400 RPM",45
"295 hp @ 6,000 RPM",45
"255 hp @ 5,750 RPM",45
"109 hp @ 5,800 RPM",45
"162 hp @ 5,800 RPM",45
"305 hp @ 4,900 RPM",45
"150 hp @ 5,100 RPM",45
"404 hp @ 5,700 RPM",45
"140 hp @ 4,200 RPM",45
"156 hp @ 5,900 RPM",44
"150 hp @ 6,500 RPM",44
"270 hp @ 6,500 RPM",44
"720 hp @ 7,500 RPM",44
"398 hp @ 5,500 RPM",44
"456 hp @ 5,250 RPM",44
"137 hp @ 3,750 RPM",44
"201 hp @ 5,500 RPM",44
"207 hp @ 5,800 RPM",43
"244 hp @ 5,000 RPM",43
"127 hp @ 6,300 RPM",43
"148 hp @ 5,600 RPM",43
"184 hp @ 6,000 RPM",43
"292 hp @ 5,500 RPM",43
"318 hp @ 6,800 RPM",43
"340 hp @ 5,000 RPM",42
"500 hp @ 6,000 RPM",42
"455 hp @ 5,250 RPM",42
"563 hp @ 5,500 RPM",42
"348 hp @ 5,400 RPM",41
"272 hp @ 4,780 RPM",41
"288 hp @ 4,000 RPM",41
"153 hp @ 6,500 RPM",41
"172 hp @ 5,800 RPM",41
"225 hp @ 3,750 RPM",39
"297 hp @ 6,800 RPM",39
"184 hp @ 6,250 RPM",39
"247 hp @ 5,750 RPM",39
"305 hp @ 6,200 RPM",39
"134 hp @ 4,500 RPM",39
"128 hp @ 6,000 RPM",39
"550 hp @ 5,750 RPM",38
"230 hp @ 6,400 RPM",38
"240 hp @ 3,500 RPM",37
"241 hp @ 5,800 RPM",37
"200 hp @ 5,800 RPM",37
"263 hp @ 5,400 RPM",37
"503 hp @ 5,950 RPM",37
"292 hp @ 5,400 RPM",37
"255 hp @ 6,000 RPM",37
"310 hp @ 4,250 RPM",36
"119 hp @ 6,000 RPM",36
