sp_name,count
Tony Mangino Mitsubishi,222
Napleton's River Oaks Honda,221
Daniels BMW,221
Prime Chrysler Dodge Jeep Ram Saco,221
Flemington Buick GMC Chevrolet Cadillac,221
Haldeman Ford,220
Franklin Ford,220
Avis Car Sales - Natick,220
Honda of Plymouth,220
Acura of Valley Stream,220
Sentry Ford Lincoln,220
Rockland Ford,220
Peruzzi Toyota,220
Ford of Londonderry,220
La Porte Chrysler Dodge Jeep Ram,219
Chapman Northeast Ford Volkswagen,219
John Kennedy Ford of Pottstown,218
Audi Burlington,218
Mazda of Lodi,218
Bargain Cars US,218
Hessert Chevrolet,218
Bob Rohrman Subaru,217
Bertera Nissan,217
Castle Chevrolet,217
Bob Bell Chevrolet,217
BMW of Newton,217
Route 33 Nissan,217
Brooklyn Mitsubishi,217
Best Chevrolet,216
Garavel Subaru,216
Stevens Ford of Milford,216
LaFontaine Chrysler Dodge Jeep Ram of Fenton,216
Lindsay Cadillac,216
Empire Chrysler Jeep Dodge Ram of West Islip,216
Peters Nissan of Nashua,216
Bob Rohrman Kia,216
Central Ave Nissan,216
Executive Honda,215
Colonial Cadillac,215
Hertz Car Sales Baltimore,215
Metro Honda,215
Shaker's Family Hyundai,215
Prime Ford - Auburn,215
Atlantic Toyota,215
Acura of Bay Shore,214
Bertera Subaru,214
BMW of Shrewsbury,214
Route 9 Mazda,214
MacMulkin Chevrolet Cadillac Corvette,213
DARCARS Honda,213
Prime Toyota - Saco,213
Henkel Auto Group,213
Gates Toyota,212
Pacifico Ford,212
Jordan Ford,212
Waldorf Toyota,212
Bob Rohrman Toyota,212
Hertz Car Sales Lynn,212
Kia of Muncie,212
Lucas Chevrolet,212
Colonial Volkswagen,211
First Hyundai,211
Elmwood Chrysler Dodge Jeep Ram,210
Lamoille Valley Ford Incorporated,210
Rensselaer Honda,210
Brattleboro Subaru,210
Baron Nissan,210
Davis Acura,210
Euro Motorcars Bethesda,209
Riverhead Toyota,209
Allentown Kia,209
Dover Honda,209
Bill Vince's Bridgewater Acura,209
Shaker Family Ford Lincoln,209
Mike Savoie Chevrolet,209
Nissan of Lafayette,209
Boch Nissan South,209
Brogan Cadillac,208
Riverhead Ford Lincoln Buick GMC,208
Kelly Honda,208
Brown Daub Chrysler Jeep Dodge RAM,208
Kokomo Auto World,207
Imlay City Ford,207
Audi Shrewsbury,207
Ford Lincoln of Queens Boulevard,207
Wow Toyota of Wallingford,207
Gengras Chevrolet,207
Tasca Ford Mazda Seekonk,207
Bosak Nissan,207
Rick Ridings Ford,207
Lexus of Arlington,207
Lake Shore Ford Toyota,206
Faulkner Honda,206
Whaling City Ford Lincoln Mazda,206
Bergey's Chrysler Jeep Dodge Ram,206
Manfredi Chevrolet,206
Herb Connolly Chevrolet,206
Chrysler Jeep Dodge Ram 24,205
Napleton's River Oaks Chrysler Jeep Dodge Ram,205
Central Chrysler Jeep Dodge of Raynham,205
Herb Chambers Ford of Westborough,205
Crippen Buick GMC Mazda Volvo,205
Warsaw Buick GMC Chrysler Dodge Jeep Ram,204
DCH Millburn Audi,204
MetroWest Subaru,204
Prestige Cadillac,204
Acme Nissan,204
BMW of Ridgefield,204
Mcgee Toyota of Claremont,204
Midway Automotive,203
Ron Bouchard's Honda Store,203
Open Road Acura of East Brunswick,203
Prime Honda - Saco,203
Audi Manhattan,203
Faulkner Buick GMC of West Chester,202
Porter Nissan Infiniti,202
Kelly Ford,202
Crestview Cadillac Inc,202
Szott M-59 Chrysler Jeep,202
Vicksburg Chrysler Dodge Jeep Ram,201
Manahawkin Chrysler Jeep Dodge Ram,201
Fitzgerald Cadillac Annapolis,201
Saratoga Ford Subaru,201
Audi Westwood,201
Preston Chevrolet of Aberdeen,201
Sheridan Nissan,200
World Class Automobiles,200
Summit City Chevrolet,200
Papa's Chrysler Dodge Jeep,200
Volvo Cars of Manhattan,200
Kia of East Hartford,200
Curry Chevrolet,200
Key Chrysler Dodge Ram of Portsmouth,199
Flood Ford Lincoln of Narragansett,199
Magic Auto Sales,199
Tom Wood Toyota,199
Jaguar Land Rover Bethesda,199
Gaven Auto Group,198
McGee Toyota of Hanover,198
Geneva Foreign & Sports,198
Sheridan Ford Sales,198
Ourisman Chevrolet Baltimore,197
Koons Volvo of Owings Mills,197
Dip's Luxury Motors,197
Harte Nissan,197
Mall Chevrolet,196
NorthStar Kia,196
Golling Toyota,196
Valenti AutoCenter,196
Criswell Nissan,196
Lia Hyundai of Albany,195
Fox Toyota Volkswagen of Rochester Hills,195
Jim Coleman Infiniti,195
BMW of Silver Spring,195
Faulkner Toyota Trevose,195
Winner Ford,194
Bob Bell Ford Hyundai,194
Newport Chevrolet Buick GMC,193
Toyota of Watertown,193
Herb Connolly Acura of Framingham,193
Seymour Ford Lincoln,193
Sawyers Chevrolet,192
Lincoln of Troy,192
Lilliston Chrysler Dodge Jeep Ram,192
Lester Glenn Chevrolet,192
Nissan of Yorktown Heights,192
Tulley BMW of Nashua,192
New Country Toyota of Clifton Park,192
Mercedes-Benz of Alexandria,191
Bruce Bennett Nissan,191
O'Daniel Ford,191
Nissan 24,191
AMG Auto,191
Lakeview Ford Lincoln,191
Portsmouth Used Car Center,191
Bryner Chevrolet,191
Ciocca Honda of Williamsport,191
Sayville Ford Sales,190
Hampstead Preowned Auto Sales,190
Route 44 Toyota,190
Sullivan-Parkhill Automotive,190
Bellavia Chevrolet Buick,190
Madison Honda,190
Larson Ford,190
Bergey's Ford of Ambler,190
Jim Winter Auto Group,190
Ourisman Chevrolet of Bowie,190
Open Road Volkswagen Manhattan,190
